Informazioni cronologiche,Hai vinto un buono da 30€. Come lo spendi?,Come ti comporti sui social? ,È ora di cena,Pregando di finire in zona gialla,"Quando ti trovi in una situazione nuova, circondat* da persone che vedi per la prima volta",Ti arrabbi soprattutto quando,Cosa ti preoccupa di più del futuro post-COVID?,Che pizza preferisci?,Sei tesserat* o fai vita associativa?,"Misuriamo l'umore, come ti senti ora?",Pensi che questo stato d'animo si prolungherà nel tempo?,"Secondo te, Bolzano ha bisogno di",Come vedi Bolzano?,"Cosa pensi se dico ""Intelligenza Artificiale""?",Quante ore dormi di solito la notte?,Mappa di Bolzano [Dov'è interessante?],Mappa di Bolzano [Dov'è rilassante?],Mappa di Bolzano [Dove ti incontri con gli amici?],Mappa di Bolzano [Dove non andresti?],Commento,Emozioni [Gioia ],Emozioni [Fiducia],Emozioni [Eccitazione],Emozioni [Ansia],Emozioni [Paura],Emozioni [Rabbia],Emozioni [Disgusto],Emozioni [Sorpresa],Emozioni [Tristezza],Rieccoti la mappa! [Rosso (A)],Rieccoti la mappa! [Arancione (B)],Rieccoti la mappa! [Giallo (C)],Rieccoti la mappa! [Verde (D)],Rieccoti la mappa! [Azzurro (E)],Rieccoti la mappa! [Blu (F)],Rieccoti la mappa! [Viola (G)],Luoghi/emozioni,Genere,Età,Luogo di nascita,"Se alla precedente domanda hai riposto Estero (EU) o Estero (no EU), specifica il paese qui sotto",Luogo di residenza,Livello di istruzione,Lingua madre,Lingue parlate,Stato civile,Con quante persone vivi?,Occupazione,Quanto lavori/studi?
16/02/2021 22.51.44,"Cosmetica, bellezza, benessere",3,Provo sempre nuovi take-away/delivery,Imploro un aperitivo con gli amici,"Rompo il ghiaccio, vado a ruota libera",I vicini del piano di sopra fanno rumore incessante per tutta la sera,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Solitaria,Può essere una valida alleata degli umani,7,1,2,1,4,,1,1,1,4,4,4,4,2,4,5,2,1,2,1,1,3,,Donna,41-50,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Single,Da sol*,Lavorator*,Tempo pieno
17/02/2021 0.11.10,"Libri, giornali, riviste",7,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Penso che tutte le persone al potere vogliono fare solo i loro interessi, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La mia situazione,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,Male,Si,Sistemare la viabilità,Tristissima,Una cosa entusiasmante,7,1,2,1,Non so,"Non c'è una zona dive non andrei mai, ma il sistema mi obbliga a sceglierne una",Non so,2,Non so,1,Non so,Non so,Non so,"4, 5",3,1,Non so,Non so,"1, 4, 5","1, 4, 5","1, 4, 5, Non so",Non so,,Donna,60+,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese, Francese, Russo",Single,Da sol*,Lavorator*,Preferisco non rispondere
17/02/2021 3.48.32,"Libri, giornali, riviste",3,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,"Rompo il ghiaccio, vado a ruota libera","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Scopro che un conoscente non paga le tasse",La mia situazione,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Chissà,"Piantare alberi, Eliminare lo spaccio e la delinquenza",Elegante ,È una questione delicata che dobbiamo gestire,6,1,"1, 2",1,Non so,,1,2,1,Non so,Non so,Non so,Non so,5,"4, 5",4,1,2,1,"1, 2",5,5,,Donna,41-50,Italia,,Preferisco non rispondere,"Master, Università",Italiano,"Italiano, Inglese, Francese ",Separat*/Divorziat*,Preferisco non rispondere,Lavorator*,Preferisco non rispondere
17/02/2021 5.45.52,"Libri, giornali, riviste",4,Adoro cucinare,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Vegetariana,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Chissà,Eliminare lo spaccio e la delinquenza,Invecchiata ,"Non ho idea di cosa sia, ma sono curios*",8,1,Non so,"1, 2",5,"Non andrei a vivere a oltrisarco ma solo perché mi piace meno di altre zone
","1, 2",2,Non so,1,Non so,1,Non so,Non so,"5, Non so",Non so,"1, 2",Non so,4,4,4,5,D E F sono i miei colori dell'infanzia e adolescenza  A e B del cuore e quotidianità ,Donna,51-60,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,"Tedesco, Inglese",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
17/02/2021 8.20.53,Articoli sportivi,3,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La situazione delle persone a me vicine,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Sporca e decadente,Può essere una valida alleata degli umani,7,1,2,5,4,,1,2,1,1,1,1,1,2,4,1,5,3,2,2,4,1,,Uomo,51-60,Bolzano,,Bolzano,Istruzione secondaria/incompleta,Italiano,"Italiano, Tedesco",Separat*/Divorziat*,Da sol*,Disoccupat*,Non lavoro e non studio
17/02/2021 11.51.51,"Cosmetica, bellezza, benessere",6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La situazione delle persone a me vicine,Marinara,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",naturale ,Può essere una valida alleata degli umani,7,1,2,1,5,,1,Non so,Non so,5,Non so,Non so,Non so,Non so,Non so,Non so,4,1,2,1,Non so,3,,Donna,21-30,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Single,Da sol*,Lavorator*,Tempo pieno
17/02/2021 13.56.04,"Cosmetica, bellezza, benessere",2,Per fortuna vivo con altre persone che se ne occupano,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Penso che tutte le persone al potere vogliono fare solo i loro interessi",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,4 formaggi,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Pensierosa ,Può essere una valida alleata degli umani,6,"1, 2, 4","4, 5","2, 4",Non so,,"2, 4",2,Non so,Non so,Non so,Non so,Non so,"3, 4",5,4,3,2,1,Non so,5,Non so,Sì ,Donna,41-50,Bolzano,,Preferisco non rispondere,Laurea specialistica,Italiano,"Italiano, Tedesco",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
17/02/2021 15.11.14,"Libri, giornali, riviste",4,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,"Rompo il ghiaccio, vado a ruota libera",Penso che tutte le persone al potere vogliono fare solo i loro interessi,La situazione delle persone a me vicine,Vegetariana,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Chissà,Sistemare la viabilità,Con la puzza al naso ,Può essere una valida alleata degli umani,8,1,3,3,5,,2,3,"2, 3","1, 2",2,Non so,2,2,"3, Non so","1, Non so","3, Non so","2, 4, Non so",Non so,5,Non so,Non so,,Donna,60+,Altro comune Trentino Alto Adige,,Bolzano,Istruzione secondaria/completa,Italiano,Italiano,Separat*/Divorziat*,Da sol*,Disoccupat*,Preferisco non rispondere
17/02/2021 17.21.53,"Libri, giornali, riviste",2,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,Vedo una persona che getta una lattina a terra,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Marinara,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Piantare alberi,Sempre meno bella. Non curata dai cittadini,È una questione delicata che dobbiamo gestire,6,1,1,1,Non so,Vivo tutta la città ma di più attorno a casa ,1,5,Non so,4,Non so,2,2,5,1,1,5,4,2,5,3,"1, 2",Sono molto convinto del senso dei colori e il numero maggiore di quello dei quartieri mi ha permesso di dividerli in zone interne ben precise (vedi zona industriale/oltrisarco e centro/piani),Uomo,60+,Italia,,Bolzano,"Master, Università",Italiano,"Italiano, Tedesco",Sposat*,Con partner,Pensionat*,Tempo pieno
17/02/2021 21.43.24,"Libri, giornali, riviste",5,Adoro cucinare,Mi gusto uno spettacolo dal vivo,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",La situazione delle persone a me vicine,Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Si,"Piantare alberi, Eliminare lo spaccio e la delinquenza",Perbenista e un pó ipocrita ,È una questione delicata che dobbiamo gestire,7,1,Non so,2,5,,2,2,4,3,Non so,1,1,4,1,"1, 5",3,4,2,2,"1, 5",Non so,,Donna,41-50,Italia,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,Inglese,Convivente (anche non formalizzato),Con partner e figl*,Casaling*,Preferisco non rispondere
17/02/2021 22.43.38,"Libri, giornali, riviste",4,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","La situazione delle persone a me vicine, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Capricciosa,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Inequa,Può essere una valida alleata degli umani,6,1,2,1,5,,2,Non so,Non so,5,4,Non so,5,2,Non so,1,3,4,2,3,2,1,,Donna,41-50,Estero (no EU),Venezuela,Bolzano,"Master, Università",Inglese,"Italiano, Tedesco, Inglese, Spagnolo",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
18/02/2021 0.19.13,Articoli sportivi,5,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","La mia situazione, La situazione delle persone a me vicine",Capricciosa,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza","Pulita, curata",Può essere una valida alleata degli umani,7,1,2,1,"4, 5",,Non so,2,Non so,Non so,Non so,Non so,Non so,1,Non so,Non so,Non so,Non so,2,Non so,Non so,Non so,Sì ,Donna,60+,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco",Preferisco non rispondere,Da sol*,Pensionat*,Non lavoro e non studio
18/02/2021 10.15.07,Articoli sportivi,6,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","La situazione delle persone a me vicine, La re-impennata degli agenti inquinanti",Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Chissà,Sistemare la viabilità,Divisa,Può essere una valida alleata degli umani,8,1,5,"1, 2, 3",4,,2,2,1,Non so,Non so,Non so,Non so,"5, Non so",Non so,1,Non so,Non so,"1, 3, 4",Non so,"2, 5",Non so,,Uomo,21-30,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Single,Con più di due coinquilin*,Student*,Tempo pieno
18/02/2021 10.53.17,Macchine fotografiche e altre attrezzature elettroniche,7,Adoro cucinare,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione",Penso che tutte le persone al potere vogliono fare solo i loro interessi,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Un isola felice bisognosa di iniziative,È una questione delicata che dobbiamo gestire,8,1,2,1,5,,1,2,1,4,4,5,Non so,2,5,1,1,1,1,1,1,1,,Uomo,21-30,Bolzano,,Preferisco non rispondere,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Single,Con un coinquilin*,Student*,Tempo pieno
18/02/2021 12.45.38,"Libri, giornali, riviste",6,La pizzeria del cuore è in cima alla lista,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La situazione delle persone a me vicine,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Piantare alberi,Aperta,Può essere una valida alleata degli umani,6,1,4,4,5,,4,4,Non so,5,5,Non so,Non so,Non so,5,3,2,4,2,1,5,5,,Donna,51-60,Bolzano,,Bolzano,Laurea specialistica,Italiano,"Italiano, Tedesco, Inglese",Sposat*,Con partner e figl*,Lavorator*,Part-time
18/02/2021 13.29.56,"Libri, giornali, riviste",6,Apro il frigo e improvviso,"Rimango fedele all'appartamento, il mio habitat del cuore",Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","La situazione delle persone a me vicine, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,"Piantare alberi, Rivedere l'assegnazione delle case popolari","La vedo chiusa in se stessa, poco aperta","Non ho idea di cosa sia, ma sono curios*",7,3,2,3,4,,2,2,Non so,5,Non so,Non so,Non so,3,Non so,2,2,2,4,Non so,Non so,Non so,,Donna,60+,Italia,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,"Italiano, Francese",Sposat*,Con partner,Pensionat*,Preferisco non rispondere
18/02/2021 15.24.39,"Cosmetica, bellezza, benessere",6,Adoro cucinare,Imploro un aperitivo con gli amici,"Rompo il ghiaccio, vado a ruota libera","Vedo una persona che getta una lattina a terra, Scopro che un conoscente non paga le tasse",La situazione delle persone a me vicine,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,"Piantare alberi, Rivedere l'assegnazione delle case popolari",Piccola,Può essere una valida alleata degli umani,7,"1, 2","1, 2",1,5,,1,"1, 2, 3, 4",Non so,Non so,1,Non so,Non so,Non so,Non so,Non so,Non so,"1, 2",1,"3, 4",5,5,,Donna,41-50,Bolzano,,Laives,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Sposat*,Con partner,Lavorator*,Tempo pieno
18/02/2021 15.37.22,Musica o film,7,La pizzeria del cuore è in cima alla lista,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La situazione delle persone a me vicine,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Vecchia e provinciale,Una cosa entusiasmante,8,1,1,1,1,"Di bolzano mi piace solo il centro storico e le passeggiate del talera, sant osvaldo e guncina",Non so,Non so,Non so,5,Non so,Non so,Non so,Non so,"3, 4, 5","1, 2",3,"3, 4",1,Non so,Non so,5,,Uomo,41-50,Bolzano,,Bolzano,"Master, Università",Italiano,"Italiano, Tedesco",Convivente (anche non formalizzato),Con partner e figl*,Lavorator*,Tempo pieno
18/02/2021 17.11.32,Articoli per la casa,6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Aspetto che mi coinvolgano le altre persone,"Vedo una persona che getta una lattina a terra, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",La situazione delle persone a me vicine,Vegetariana,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Piantare alberi, Eliminare lo spaccio e la delinquenza",Vecchia e triste ,Può essere una valida alleata degli umani,7,Non so,2,3,5,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,5,5,5,"1, 2",5,5,5,,Donna,51-60,Italia,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Inglese",Convivente (anche non formalizzato),Con due coinquilin*,Lavorator*,Tempo pieno
18/02/2021 21.31.30,"Libri, giornali, riviste",7,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, Penso che tutte le persone al potere vogliono fare solo i loro interessi, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La situazione delle persone a me vicine,Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Chissà,"Piantare alberi, Sistemare la viabilità",Triste ,Può essere una valida alleata degli umani,8,Non so,Non so,Non so,Non so,,Non so,Non so,Non so,Non so,Non so,4,Non so,Non so,4,Non so,Non so,Non so,Non so,Non so,Non so,Non so,,Donna,60+,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,Italiano,Sposat*,Con partner e figl*,Pensionat*,Non lavoro e non studio
18/02/2021 21.34.49,"Cosmetica, bellezza, benessere",3,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La situazione delle persone a me vicine,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Provinciale ,Può essere una valida alleata degli umani,8,1,"1, 2",1,4,,1,"1, 2",1,5,"3, 4, 5","3, 4, 5","3, 4, 5","1, 2","4, 5",5,4,3,2,1,1,4,,Donna,31-40,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Inglese",Preferisco non rispondere,Preferisco non rispondere,Lavorator*,Tempo pieno
18/02/2021 23.11.01,Musica o film,5,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","La situazione delle persone a me vicine, La re-impennata degli agenti inquinanti",Vegetariana,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Si,Piantare alberi,"Purtroppo sporca, abbastanza verde,  tanti poveri per strada,  ",È una questione delicata che dobbiamo gestire,7,"1, 2, 3, 4, 5","2, 3, 4","1, 4",Non so,"Ogni quartiere ha qualcosa che ricerco,  esempio il fiume, le aree libere per cani, le passeggiate e camminate partendo dalla città, i negozi in centro, la mia famiglia....mamma,sorella,suocera...tutte in zone diverse ","1, 4",4,1,Non so,Non so,Non so,Non so,1,Non so,Non so,Non so,Non so,"2, 4",4,"1, 2, 3, 4","1, 5",,Donna,41-50,Bolzano,,Bolzano,Laurea specialistica,Tedesco,"Italiano, Tedesco, Inglese",Sposat*,Con partner e figl*,Lavorator*,Part-time
19/02/2021 0.12.34,Articoli per la casa,7,Per fortuna vivo con altre persone che se ne occupano,"Rimango fedele all'appartamento, il mio habitat del cuore",Se potessi mi smaterializzerei,Penso che tutte le persone al potere vogliono fare solo i loro interessi,"La situazione delle persone a me vicine, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Vegetariana,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Chissà,"Piantare alberi, Sistemare la viabilità","La mia città, in declino","Non ho idea di cosa sia, ma sono curios*",7,5,5,"1, 5","3, 4","Oltrisarco è il mio quartiere d'origine, il centro del mondo. Abito ai Piani/Rencio, bello ma non offre niente, un rione di serie Zeta. ",5,5,Non so,Non so,"3, 4",Non so,Non so,Non so,Non so,"1, 5",Non so,Non so,Non so,Non so,Non so,Non so,,Donna,51-60,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,Italiano,Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
19/02/2021 9.40.00,"Cosmetica, bellezza, benessere",5,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera","Vedo una persona che getta una lattina a terra, Penso che tutte le persone al potere vogliono fare solo i loro interessi",La situazione delle persone a me vicine,Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza","triste, vecchia",Può essere una valida alleata degli umani,8,4,2,4,5,,1,4,4,5,5,1,Non so,2,5,"1, 5",2,"1, 2, 4","2, 4",4,"1, 3","3, 5",,Donna,51-60,Altro comune Trentino Alto Adige,,Bolzano,Istruzione secondaria/completa,Ladino,"Italiano, Tedesco, Ladino, Inglese",Sposat*,Con partner e figl*,Lavorator*,Part-time
19/02/2021 10.07.25,"Libri, giornali, riviste",4,Adoro cucinare,Mi gusto uno spettacolo dal vivo,"Rompo il ghiaccio, vado a ruota libera","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La situazione delle persone a me vicine,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",No,"Piantare alberi, Sistemare la viabilità",Sempre meravigliosa,Può essere una valida alleata degli umani,7,1,2,"1, 3",4,"Io andrei dappertutto, ho indicato la zona che conosco un po’ meno con dispiacere","1, 3","2, 3",1,Non so,Non so,Non so,Non so,Non so,Non so,"1, 3","4, 5",1,2,"2, 3",5,"4, 5",Ho scelto i colori seguendo l’istinto ,Donna,60+,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco",Sposat*,Con partner,Lavorator*,Part-time
19/02/2021 11.02.24,"Libri, giornali, riviste",1,Adoro cucinare,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Aspetto che mi coinvolgano le altre persone,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Penso che tutte le persone al potere vogliono fare solo i loro interessi",La situazione delle persone a me vicine,Salsiccia e friarielli,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Riqualificare/rimuovere i monumenti di epoca fascista, Sistemare la viabilità",Morta,Una cosa entusiasmante,8,"1, 5","2, 5","2, 5","3, 4",,5,"2, 5",5,1,1,1,1,4,1,2,3,5,"2, 5",1,1,1,,Uomo,31-40,Bolzano,,Bolzano,"Master, Università",Italiano,"Tedesco, Inglese",Convivente (anche non formalizzato),Con partner e figl*,Lavorator*,Tempo pieno
19/02/2021 18.22.35,"Libri, giornali, riviste",3,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Vegetariana,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Sistemare la viabilità, Rivedere l'assegnazione delle case popolari",Restia a cambiare,Una cosa entusiasmante,8,4,4,2,1,,4,4,Non so,1,1,1,1,Non so,3,4,3,Non so,3,2,2,1,,Donna,41-50,Altro comune Trentino Alto Adige,,Bolzano,Istruzione secondaria/completa,Tedesco,"Italiano, Tedesco, Inglese",Convivente (anche non formalizzato),Con partner e figl*,Lavorator*,Part-time
19/02/2021 21.41.53,Articoli per la casa,6,Adoro cucinare,Imploro un aperitivo con gli amici,Aspetto che mi coinvolgano le altre persone,Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una,La situazione delle persone a me vicine,Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Sistemare la viabilità,Peggiorata ,Può essere una valida alleata degli umani,7,1,2,4,5,,1,4,"1, Non so",5,1,Non so,Non so,1,5,5,3,4,1,2,4,5,,Donna,41-50,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Sposat*,Con partner,Lavorator*,Part-time
19/02/2021 22.18.22,Articoli per la casa,5,Adoro cucinare,"Rimango fedele all'appartamento, il mio habitat del cuore",Aspetto che mi coinvolgano le altre persone,"Vedo una persona che getta una lattina a terra, Scopro che un conoscente non paga le tasse","La situazione delle persone a me vicine, La re-impennata degli agenti inquinanti, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Vegetariana,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Si,"Piantare alberi, Eliminare lo spaccio e la delinquenza","Triste, asettica",È una questione delicata che dobbiamo gestire,5,"2, 3","1, 3","2, 3","1, 4, 5",C'è troppa disomogeneità tra i quartieri ,"2, 3",3,2,"1, 4, 5","1, 4, 5","4, 5",1,"2, 3","1, 5","4, 5",1,2,3,"2, 3",1,"4, 5",,Donna,51-60,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco",Sposat*,Con partner,Pensionat*,Non lavoro e non studio
19/02/2021 23.43.26,"Libri, giornali, riviste",5,La pizzeria del cuore è in cima alla lista,Mi gusto uno spettacolo dal vivo,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, Scopro che un conoscente non paga le tasse","La situazione delle persone a me vicine, La re-impennata degli agenti inquinanti",Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Piantare alberi, Eliminare lo spaccio e la delinquenza",In crescita ,Una cosa entusiasmante,7,"1, 2, 3",2,"1, 2",Non so,"Qualunque luogo dove ci siano famiglia o amici, va bene ","1, 3","1, 2, 3",1,Non so,Non so,"3, 5",Non so,"1, 3, 4","1, 5",1,Non so,"1, 4","1, 2, 3","1, 2, 3",4,"1, 5",,Donna,41-50,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Sposat*,Con partner,Lavorator*,Tempo pieno
